Dataset,Notes,Detectability Model,Threshold,Max Score Edges,Peptides Min Detectability,Psi1,Psi2,Spectra Error Rate,False Edges,Proteins,Peptides,Protein Edges,Proteins with Spectra,Proteins Spectra Paths,Target Proteins,Target Proteins associated Spectra,Target Proteins with Spectra,Decoy Proteins,Decoy Proteins associated Spectra,Decoy Proteins with Spectra,Identifiable Proteins Ratio,Score Edges,Peptides with Spectra,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Specificity,Sensitivity,False Negatives Rate,Positive Predictive Value,Negative Predictive Value
old_tests,,1,,,0.9,1,10,0.4,1,24267,24406,330570,10898,37741,197,15554,195,24070,22187,10703,0.0081844619858745,42972,24406,184,33,24037,13,0.99810442164256,0.9986289987536352,0.934010152284264,0.065989847715736,0.847926267281106,0.9994594594594596
old_tests,,1,,,0.9,1,10,0.4,1,24267,25243,330570,11157,52259,196,15884,196,24071,36375,10961,0.0081425782061401,44634,25243,181,42,24029,15,0.9976511311657806,0.99825516181297,0.923469387755102,0.0765306122448979,0.8116591928251121,0.9993761437364832
old_tests,,1,,,0.9,1,10,0.4,1,24267,26095,330570,11544,69328,192,17128,192,24075,52200,11352,0.0079750778816199,46568,26095,186,42,24033,6,0.9980220051922364,0.9982554517133956,0.96875,0.03125,0.8157894736842105,0.9997504055909148
old_tests,,1,,,0.9,1,10,0.8,1,24267,12910,330570,6489,16883,196,5478,193,24071,11405,6296,0.0081425782061401,19898,12910,169,28,24043,27,0.9977335476161042,0.99883677454198,0.8622448979591837,0.1377551020408163,0.8578680203045685,0.9988782717075196
old_tests,,1,,,0.9,1,10,0.8,1,24267,15343,330570,7479,20988,197,6533,195,24070,14455,7284,0.0081844619858745,23784,15343,164,26,24044,33,0.9975687147154572,0.9989198171998338,0.8324873096446701,0.1675126903553299,0.8631578947368421,0.9986293973501682
old_tests,,1,,,0.9,1,10,0.8,1,24267,11748,330570,6281,19618,194,4777,190,24073,14841,6091,0.0080588210858638,18156,11748,154,34,24039,40,0.9969505913380312,0.99858762929423,0.7938144329896907,0.2061855670103093,0.8191489361702128,0.9983388014452428
old_tests,,1,,,0.0,1,10,0.9,1,24629,9831,483101,7065,24464,198,7518,195,24431,16946,6870,0.0081044574515983,14718,9831,127,32,24399,71,0.9958179382029316,0.9986901886946912,0.6414141414141414,0.3585858585858585,0.7987421383647799,0.9970984879444218
old_tests,,1,,,0.0,1,10,0.9,1,24629,9555,483101,7060,24970,199,7363,196,24430,17607,6864,0.00814572247237,14480,9555,132,27,24403,67,0.9961833610784036,0.998894801473598,0.6633165829145728,0.3366834170854271,0.8301886792452831,0.9972619534123416
old_tests,,1,,,0.0,1,10,0.9,1,24629,9671,483101,6987,19957,198,7366,191,24431,12591,6796,0.0081044574515983,14482,9671,120,22,24409,78,0.9959397458280888,0.9990995047276002,0.6060606060606061,0.3939393939393939,0.8450704225352113,0.9968146363376486
old_tests,,1,,,0.0,1,10,0.9,1,24629,10223,483101,7283,22311,199,7874,193,24430,14437,7090,0.00814572247237,15434,10223,127,34,24396,72,0.9956961305777742,0.9986082685223088,0.6381909547738693,0.3618090452261306,0.7888198757763976,0.9970573810691516
old_tests,,1,,,0.0,1,10,0.9,1,24629,9266,483101,6849,24616,197,7029,196,24432,17587,6653,0.0080631958087753,13814,9266,125,29,24403,72,0.9958991432863696,0.9988130320890636,0.6345177664974619,0.365482233502538,0.8116883116883117,0.9970582226762004
old_tests,,1,,,0.8,1,10,0.9,1,24443,8891,386606,5428,13628,195,3147,184,24248,10481,5244,0.0080419003629165,13302,8891,132,23,24225,63,0.9964816102769708,0.9990514681623228,0.676923076923077,0.323076923076923,0.8516129032258064,0.9974061264822134
old_tests,,1,,,0.8,1,10,0.9,1,24443,9514,386606,5921,12804,195,3298,185,24248,9506,5736,0.0080419003629165,14324,9514,116,24,24224,79,0.9957861146340464,0.999010227647641,0.5948717948717949,0.4051282051282051,0.8285714285714286,0.996749372505452
old_tests,,1,,,0.8,1,10,0.9,1,24443,8929,386606,5535,10981,194,3046,185,24249,7935,5350,0.0080003299105117,13498,8929,120,22,24227,74,0.9960724951928978,0.9990927460926224,0.6185567010309279,0.3814432989690721,0.8450704225352113,0.9969548578247808
old_tests,,1,,,0.9,1,10,0.9,1,24267,9213,330570,5028,10820,196,2915,187,24071,7905,4841,0.0081425782061401,13782,9213,115,30,24041,81,0.9954258870070466,0.9987536870092644,0.5867346938775511,0.4132653061224489,0.7931034482758621,0.9966420694801426
old_tests,,1,,,0.9,1,10,0.9,1,24267,9104,330570,4889,10539,195,2868,191,24072,7671,4698,0.0081006979062811,13334,9104,122,25,24047,73,0.9959615939341492,0.9989614489863742,0.6256410256410256,0.3743589743589743,0.8299319727891157,0.9969734660033168
old_tests,,1,,,0.9,1,10,0.9,1,24267,8799,330570,4812,10760,194,2675,185,24073,8085,4627,0.0080588210858638,13026,8799,120,23,24050,74,0.996002802159311,0.9990445727578616,0.6185567010309279,0.3814432989690721,0.8391608391608392,0.9969325153374232
old_tests,,1,,,0.95,1,10,0.4,1,23754,26409,248632,9608,50216,192,13744,192,23562,36472,9416,0.0081487140310669,47260,26409,182,31,23531,10,0.9982739749094888,0.998684322213734,0.9479166666666666,0.0520833333333333,0.8544600938967136,0.9995752092094644
old_tests,,1,,,0.95,1,10,0.4,1,23754,24984,248632,9309,37509,189,12831,188,23565,24678,9121,0.0080203691915977,44272,24984,173,31,23534,16,0.9980213858718532,0.9986844897093148,0.9153439153439152,0.0846560846560846,0.8480392156862745,0.99932059447983
old_tests,,1,,,0.95,1,10,0.4,1,23754,25136,248632,9380,34118,189,12420,189,23565,21698,9191,0.0080203691915977,44726,25136,173,35,23530,16,0.997852993180096,0.9985147464460004,0.9153439153439152,0.0846560846560846,0.8317307692307693,0.9993204790622612
old_tests,,1,,,0.95,1,10,0.8,1,23754,14047,248632,5641,15340,189,4404,186,23565,10936,5455,0.0080203691915977,21960,14047,153,29,23536,36,0.997263618758946,0.9987693613409718,0.8095238095238095,0.1904761904761904,0.8406593406593407,0.9984727642966232
old_tests,,1,,,0.95,1,10,0.8,1,23754,11285,248632,4675,12453,186,3494,182,23568,8959,4493,0.0078920570264765,17546,11285,157,27,23541,29,0.9976425023153996,0.9988543788187372,0.8440860215053764,0.1559139784946236,0.8532608695652174,0.9987696224013576
old_tests,,1,,,0.95,1,10,0.8,1,23754,13383,248632,5609,18112,185,4518,180,23569,13594,5429,0.0078492935635792,20820,13383,158,24,23545,27,0.997852993180096,0.9989817132674276,0.8540540540540541,0.1459459459459459,0.8681318681318682,0.9988545732224672
old_tests,,1,,,0.95,1,10,0.9,1,23754,9602,248632,4136,7998,187,2111,180,23567,5887,3956,0.0079348241184707,14508,9602,130,21,23546,57,0.996716342510735,0.9991089234947172,0.6951871657754011,0.3048128342245989,0.8609271523178808,0.997585052747532
old_tests,,1,,,0.95,1,10,0.9,1,23754,9991,248632,4238,8150,193,2329,184,23561,5821,4054,0.0081915029073468,14996,9991,130,16,23545,63,0.9966742443377956,0.9993209116760748,0.6735751295336787,0.3264248704663213,0.8904109589041096,0.9973314130803118
old_tests,,1,,,0.95,1,10,0.9,1,23754,8822,248632,3756,6830,183,2067,167,23571,4763,3589,0.0077637775232276,13170,8822,106,17,23554,77,0.9960427717437064,0.9992787747656018,0.5792349726775956,0.4207650273224044,0.8617886178861789,0.9967415682789555
old_tests,,1,,,0.99,1,10,0.0,1,13079,37501,25894,2134,6229,102,2373,102,12977,3856,2032,0.0078600601063419,71348,37501,94,10,12967,8,0.9986237479929658,0.9992294058719272,0.9215686274509804,0.0784313725490196,0.903846153846154,0.999383429672447
old_tests,,1,,,0.99,1,10,0.0,1,13079,41217,25894,2266,6763,110,2423,110,12969,4340,2156,0.008481764206955,78822,41217,107,4,12965,3,0.9994647908861534,0.9996915722106562,0.9727272727272728,0.0272727272727272,0.963963963963964,0.9997686613201728
old_tests,,1,,,0.99,1,10,0.0,1,13079,37626,25894,2013,5238,102,2025,102,12977,3213,1911,0.0078600601063419,71532,37626,97,5,12972,5,0.9992354155516476,0.9996147029359636,0.9509803921568628,0.0490196078431373,0.9509803921568628,0.9996147029359636
